expr,time,Filename,Version
A1,302,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,603,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A3,1,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,603,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,1,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A3,1,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,1,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,603,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,1,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,603,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A2,603,timings/aliases/1.R,1.2.0
A3,602,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A2,602,timings/aliases/1.R,1.2.0
A3,603,timings/aliases/1.R,1.2.0
A3,602,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A3,602,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,1,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A2,1,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,602,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,1,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A2,1506,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,1,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,16867,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A1,1,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A1,602,timings/aliases/1.R,1.2.0
A2,603,timings/aliases/1.R,1.2.0
A1,602,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,1,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,603,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,603,timings/aliases/1.R,1.2.0
A3,602,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A1,603,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A1,302,timings/aliases/1.R,1.2.0
A2,602,timings/aliases/1.R,1.2.0
A3,301,timings/aliases/1.R,1.2.0
A2,0,timings/aliases/1.R,1.2.0
A1,0,timings/aliases/1.R,1.2.0
A2,602,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A3,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,603,timings/aliases/1.R,1.2.0
A1,301,timings/aliases/1.R,1.2.0
A3,0,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,302,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A2,301,timings/aliases/1.R,1.2.0
A1,603,timings/aliases/1.R,1.2.0
